input,output
Can their be an audio version,Can their be an audio version
The public speaking video.,The public speaking video.
It was engaging and apt but will be better with audio.,It was engaging and apt but will be better with audio.
The modules would be easier to go through if there was audio version,The modules would be easier to go through if there was audio version
The videos where someone shared her experience when she arrived Canada.,The videos where someone shared her experience when she arrived Canada.
I gained useful tips that I find practicable.,I gained useful tips that I find practicable.
"The Module is apt and direct, more of the video should be inculcated as it is relatable.","The Module is apt and direct, more of the video should be inculcated as it is relatable."
The module informative but long,The module informative but long
There are sufficient video to drill down the points made,There are sufficient video to drill down the points made
A more concise module will be preferred.,A more concise module will be preferred.
Video shared by Lee Brighton,Video shared by Lee Brighton
It is quiet lengthy,It is quiet lengthy
Nice and educative,Nice and educative
Interesting and very informative module,Interesting and very informative module
Nothing because the module is all encompassing and relevant.,Nothing because the module is all encompassing and relevant.
The most interesting part of Module 1 is: Program learning objectives,The most interesting part of Module 1 is: Program learning objectives
Nothing to report,Nothing to report
Program learning objectives,Program learning objectives
Personal Branding,Personal Branding
